ch_name,h_name,ch_i,h_i,l_i,i,word,fn,x,,,
ed,say,5,12,0,5.12.0,say,,,,,
ed,say,5,12,72,5.12.72,how will your life look if you put it on paper? like a bunch of words.,plan,,,,
ed,say,5,12,73,5.12.73,"how do you change it? by deleting the words with lies, and replacing them with better words.",plan,,,,
ed,say,5,12,74,5.12.74,"the right words will change your actions and your life. to live a better life, starts with your words.",plan,,,,
ed,say,5,12,75,5.12.75,"in order to do something about thoughts, we need to think on paper. [you'll write a lot. you'll delete a lot. you'll get good at writing.]",plan,,,,
ed,write,5,13,0,5.13.0,write,,,,,
ed,write,5,13,76,5.13.76,bet on words. a writer invests time and energy to map feelings onto words.,plan,,,,
ed,write,5,13,77,5.13.77,"good writing is discovering, curating, and applying insight. bad writing has an author; ad hominem.",def,is,,,
ed,write,5,13,78,5.13.78,"revisions also make you a writer. when you revise words (yours or others') to maximize your bet, you are a writer.",def,,,,
ed,write,5,13,79,5.13.79,"separate thought and self (author), by betting explicitly.",plan,,,,
ed,write,5,13,80,5.13.80,"state your assumptions, do not justify them. -is-style-bad",plan,,,,
ed,write,5,13,81,5.13.81,"replace ""i am."" with tag words.",plan,,,,
ed,write,5,13,82,5.13.82,"strive for comm-content and brevity; write only valuable bets, or words that manifest valuable bets. prioritize understanding over original writing.",plan,,,,
ed,write,5,13,83,5.13.83,"writing for lib-ppl, relatable, depersonalized, objective words, minimizes rot, maximizes plan utility.",plan,,,,
ed,instructor,5,14,0,5.14.0,instructor,,,,,
ed,instructor,5,14,84,5.14.84,"i am an instructor, a guardian of true ideas and writer of a general plan (this book).",example,,,,
ed,instructor,5,14,85,5.14.85,"an instructor reads, and enforces bets on links toward a plan.",def,role,,,
ed,instructor,5,14,86,5.14.86,my goals are to,def,role,,,
ed,instructor,5,14,86.1,5.14.86.1,minimize student effort and time to write.,def,role,,,
ed,instructor,5,14,86.2,5.14.86.2,"read for cognitive biases, illogical appeals, and imprecise",def,role,,,
ed,instructor,5,14,86.3,5.14.86.3,"reward arguments based on (truth:) reality, self, and cake.",def,role,,,
ed,instructor,5,14,86.4,5.14.86.4,reward ideas shared (vs kept).,def,role,,,
ed,answers,5,15,0,5.15.0,answers,,,,,
ed,answers,5,15,87,5.15.87,"which lines from this book would you [bet on][how to read], written as-is, or revised for you?",plan,,,,
ed,answers,5,15,88,5.15.88,"assign 100 dollars (total) to those lines according to their relative impact, and you are an ibc student; an author of shared truth.",plan,,,,
ed,answers,5,15,89,5.15.89,suppose a representative set of ppl did the same thing. here's a game to help imagine.,example,imagine,,,
ed,answers,5,15,89.1,5.15.89.1,each student's bets go to a general pool.,plan,,,,
ed,answers,5,15,89.2,5.15.89.2,"when bets on a line reach a critical mass, the pool of sub-par bets is split among winners.",plan,game,,,
ed,answers,5,15,89.3,5.15.89.3,cash is divided.,plan,game,,,
ed,answers,5,15,89.4,5.15.89.4,"also, points are recorded, to incentivize a deeper purpose:",plan,game,,,
ed,answers,5,15,89.5,5.15.89.5,"a game, where the prize is",plan,game,,,
ed,answers,5,15,89.6,5.15.89.6,the collective revision and authorship of this book.,plan,game,,,
ed,answers,5,15,89.7,5.15.89.7,"after x wins, your name appears on the title.",plan,game,,,
ed,answers,5,15,89.8,5.15.89.8,high scores are on the acknowledgements page.,plan,game,,,
ed,answers,5,15,89.9,5.15.89.9,"this is the process and meaning of reader and writer; bound directly to material and action, irl.",def,is,,,
ed,answers,5,15,90,5.15.90,"whereas the exchange of money incentivizes the revision of truth, the content itself would be the premise to the next book, [the answerword][the answerword].",def,is,,,
word,WORDS,6,0,6,6.0.0,# words,,,,,
word,cognition,6,1,0,6.1.0,cognition,,,,,
word,cognition,6,1,1,6.1.1,words describe the world and its conditions.,def,is,,,
word,cognition,6,1,2,6.1.2,"this chapter is about problems and answers regarding the act of describing, itself:",def,,,,
word,cognition,6,1,2.1,6.1.2.1,words said do not usually reflect what ppl want or need.,def,,,,
word,cognition,6,1,2.2,6.1.2.2,"by engaging the gap between words and reality, you increase",def,,,,
word,cognition,6,1,2.3,6.1.2.3,"better words mean more practical understanding and expectations,",def,,,,
word,cognition,6,1,2.4,6.1.2.4,the capacity to make a concrete plan for achieving your goals.,def,,,,
word,cognition,6,1,2.5,6.1.2.5,this will include healthier comm and rltps.,def,,,,
word,cognition,6,1,2.6,6.1.2.6,"a community with better words has clearer idea sharing,",def,,,,
word,problem,6,2,0,6.2.0,problem,,,,,
word,problem,6,2,3,6.2.3,speaking your mind is difficult to do accurately.,def,is,,,
word,problem,6,2,4,6.2.4,a memory system dealing with language is tasked to translate thoughts into the right words from tens of thousands. it is prone to inaccuracies.,def,is,,,
word,problem,6,2,5,6.2.5,"similarly, a listener focused on comprehending, is not likely to monitor all the incidental priming effects of words on a memory system.",def,is,,,
word,problem,6,2,6,6.2.6,words said and heard impact both parties' beliefs and behaviors.,def,,,,
word,problem,6,2,7,6.2.7,"saying words or hearing and understanding a word is a very small physical action, to describe real actions and consequences.",def,,,,
word,problem,6,2,8,6.2.8,"the issue is that words can be more and less right, more and less helpful, and without intervention, it is very difficult to know how much this is true in any example of word use.",def,is,,,
word,problem,6,2,9,6.2.9,bad words keep chud expensive and waste time.,def,,,,
word,problem,6,2,10,6.2.10,"the cost of an individual word is tiny, but we say tens of thousands per day (levelt).",def,is,,,
word,bet,6,3,0,6.3.0,bet,,,,,
word,bet,6,3,11,6.3.11,"a good general bet about words is to begin assuming every word is a bet on hypotheticals, which can be true (reality) or false (fantasy).",def,,,,
word,bet,6,3,12,6.3.12,a plan is a bet on a winning arrangement of words that result in the goal.,def,,,,
word,bet,6,3,13,6.3.13,"reading, thinking, saying, and writing a word perpetuates that word's idea over others, either moving you toward a goal, or your habit.",def,,,,
word,simulation,6,4,0,6.4.0,simulation,,,,,
word,simulation,6,4,14,6.4.14,"words efficiently simulate possible worlds. you can think through far more situations with words, than you can (or should) act out.",def,,,,
word,simulation,6,4,15,6.4.15,"your goals can be described in words, and words can be easily crossed out and revised.",def,can could,,,
word,simulation,6,4,16,6.4.16,"good words maximize productivity of thought, move you beyond pitfalls of chud, direct attention to pris, and predict reality; improve decisions and make you smarter.",def,,,,
word,simulation,6,4,17,6.4.17,"by thinking about all words you experience (lib), you can take control to limit your word use toward more productive ones, improving read and write decisions, increasing focus and time for goals.",def,,,,
word,simulation,6,4,18,6.4.18,"sim (f-act) is the act of iterating between write and read, to evoke and name the optimal, held bet. tour sim is not constrained by irl, but your picture of irl, and your sim goal is to capture the picture true to your chud estimate.",def,is,,,
word,"""it""",6,5,0,6.5.0,"""it""",,,,,
word,"""it""",6,5,19,6.5.19,"it caused you to name in the first place. this cause is ""it"". good-ref is giving the best name for our desired comm.",def,is,,,
word,"""it""",6,5,20,6.5.20,"for example, take these background facts, which contains the basis of our desired ref.",example,,,,
word,"""it""",6,5,20.1,6.5.20.1,i woke at 8:30am,example,,,,
word,"""it""",6,5,20.2,6.5.20.2,i wanted to sleep until 9:30am.,example,,,,
word,"""it""",6,5,20.3,6.5.20.3,"in my 9:00am appointment with you, as you are talking, i yawn.",example,,,,
word,"""it""",6,5,20.4,6.5.20.4,"you say, ""i must be boring you.""",example,,,,
word,"""it""",6,5,20.5,6.5.20.5,i want to hear what you were going to say (comm-pri).,example,,,,
word,"""it""",6,5,21,6.5.21,"each of these (below) are slightly different refs based on the facts (above), ranked by good-ref:",example,,,,
word,"""it""",6,5,21.1,6.5.21.1,"you're not, please continue.",example,,,,
word,"""it""",6,5,21.2,6.5.21.2,"no, i'm tired.",example,,,,
word,"""it""",6,5,21.3,6.5.21.3,"no, i woke early.",example,,,,
word,"""it""",6,5,21.4,6.5.21.4,don't make assumptions.,example,,,,
word,"""it""",6,5,21.5,6.5.21.5,i'm not.,example,,,,
word,"""it""",6,5,21.6,6.5.21.6,"""i woke at 8:30am, but wanted to sleep until 9:30am, so i think",example,,,,
word,"""it""",6,5,21.7,6.5.21.7,"""i yawned because i am tired. i can see why you thought i was",example,,,,
word,"""it""",6,5,21.8,6.5.21.8,[nothing],example,,,,
word,"""it""",6,5,22,6.5.22,"all of the refs above combined suggest the ""it"" you want to convey.",example,def,,,
word,"""it""",6,5,23,6.5.23,a good-ref is the one that uses truth to focus and advance the comm-pri.,example,def,,,
word,"""it""",6,5,24,6.5.24,below are the ref attributes that make each choice unique (and less good).,example,def,,,
word,"""it""",6,5,25,6.5.25,give a simple reason to return to the comm-pri (example 1 above).,example,def,,,
word,"""it""",6,5,26,6.5.26,does not add to comm-pri nor return to it. 3-'early' may not be true.,example,def,,,
word,"""it""",6,5,27,6.5.27,focus on others' mistake and issue a command.,example,def,,,
word,"""it""",6,5,28,6.5.28,begs the question.,example,def,,,
word,"""it""",6,5,29,6.5.29,focus on the distraction.,example,def,,,
word,"""it""",6,5,30,6.5.30,focus on the distraction and makes the same kind of ref which the other did and which caused the confusion.,example,def,,,
word,"""it""",6,5,31,6.5.31,"this can be anywhere in the list including 1, depending on what you do or say next. -   1: you or the other return to comm-pri without ever returning to this interruption. -   4: it reduces the number of words said before returning to comm-pri. -   8: the distraction is remembered, and mentioned again, later.",example,def,,,
word,"""it""",6,5,32,6.5.32,"let this characterize the problem and approach, and i will end with a few primary objectives, besides.",example,def,,,
word,"""it""",6,5,32.1,6.5.32.1,good-ref is a plain idea or link.,def,,,,
word,"""it""",6,5,32.2,6.5.32.2,"if ""good-ref"", the idea, crosses your mind while considering",def,,,,
word,"""it""",6,5,32.3,6.5.32.3,"decide and say ref within a few seconds, rather than thinking",def,,,,
word,"""it""",6,5,32.4,6.5.32.4,"best-ref is possible, but requires extra thinking to know the",def,is,,,
word,"""it""",6,5,32.5,6.5.32.5,"in use, this means quickly name the relevant links, and estimate",def,,,,
word,"""it""",6,5,33,6.5.33,"in our example of the facts, above,",example,def,,,
word,"""it""",6,5,33.1,6.5.33.1,1 is not obvious and adds little to 3.,example,def,,,
word,"""it""",6,5,33.2,6.5.33.2,"5 is the comm-pri, and 4 is the cause, but not it in what you",example,def,,,
word,"""it""",6,5,33.3,6.5.33.3,"2 and 3 are it, and specifically, the link between them.",example,def,,,
word,"""it""",6,5,34,6.5.34,"unless you are a recruit, to go any further will usually not be worth the cost. to go further is to specify what kind of link is between the two. want is hype, etc.",example,def,,,
word,"""it""",6,5,35,6.5.35,"good-ref is ""new"" vs given.",example,def,,,
word,write-plan,6,6,0,6.6.0,write-plan,,,,,
word,write-plan,6,6,36,6.6.36,"speak, write, initiate or respond only in limited duration and words dictated by intended outcome.",plan,,,,
word,write-plan,6,6,37,6.6.37,"use words empirically, with a comparison group (vs) and quantity in mind.",plan,,,,
word,write-plan,6,6,38,6.6.38,ideas are more important than authorship.,def,,,,
word,write-plan,6,6,39,6.6.39,do not use a word that is more of a lie.,plan,is,,,
word,write-plan,6,6,40,6.6.40,say the truth or be quiet.,plan,,,,
word,write-plan,6,6,41,6.6.41,"use words for decisions, not emotions.",plan,,,,
word,write-plan,6,6,42,6.6.42,use words to facilitate pris. do not write plans you won't follow.,plan,,,,
word,write-plan,6,6,43,6.6.43,stop talking when action (or listening) is needed.,def,is,,,
word,read-plan,6,7,0,6.7.0,read-plan,,,,,
word,read-plan,6,7,46,6.7.46,listen / read when you need to learn / connect.,plan,,,,
word,read-plan,6,7,47,6.7.47,limit duration/words needed to assess consent.,plan,,,,
word,read-plan,6,7,48,6.7.48,"distrust ego, and take nothing personally",plan,,,,
word,read-plan,6,7,49,6.7.49,investigate the empirical cake of words.,plan,,,,
word,read-plan,6,7,50,6.7.50,"revise to believe, and revise plans into ones you'd follow.",plan,,,,
word,read-plan,6,7,51,6.7.51,remove / ignore style.,plan,,,,
word,read-plan,6,7,52,6.7.52,assert boundaries against exaggerated words or unreliable ones.,plan,,,,
word,types,6,8,0,6.8.0,types,,,,,
word,types,6,8,47,6.8.47,"a description of the kinds of simulation a word can make, and the kinds to prioritize.",def,,,,
word,example,6,9,0,6.9.0,example,,,,,
word,example,6,9,45,6.9.45,"an example is an individual, particular event or object, of reality.",def,,,,
word,example,6,9,45.1,6.9.45.1,an example with consequence is a use-case.,def,,,,
word,example,6,9,45.2,6.9.45.2,an example in-principle is a hype (hypothetical/hype).,def,,,,
word,example,6,9,45.3,6.9.45.3,"in comm, examples are described per the criteria that might",def,,,,
word,example,6,9,46,6.9.46,words are one of two types:,def,,,,
word,example,6,9,46.1,6.9.46.1,"links: words that give relationship between examples, ideas,",def,,,,
word,example,6,9,46.2,6.9.46.2,ideas: words that refer to examples.,def,,,,
word,example,6,9,46.3,6.9.46.3,an idea is a set of criteria that link examples as similar (vs,def,,,,
word,example,6,9,46.4,6.9.46.4,"the most basic idea classifies examples as a or not-a. ""blue"" is",def,,,,
word,example,6,9,46.5,6.9.46.5,good ideas group examples in a way that directs attention toward,def,,,,
word,example,6,9,46.6,6.9.46.6,"the right link between ideas is the foundation of every thought,",def,is,,,
word,hype,6,10,0,6.10.0,hype,,,,,
word,hype,6,10,47,6.10.47,"hype vs use-case guides what and if to write. a goal is a named hype. good hype are worthwhile goals, sub-goals, or alt plan actions to consider. don't write hype without a bet.",def,,,,
word,hype,6,10,48,6.10.48,"as all words should be toward pris, there are three general modes of pri words:",def,,,,
word,hype,6,10,48.1,6.10.48.1,h0 = history. habit is to history as action is to doc. good,def,is,,,
word,hype,6,10,48.2,6.10.48.2,"h1 = plan (pri.txt, proj_doc.txt)",def,,,,
word,hype,6,10,48.3,6.10.48.3,h2 = doubt especially for bet.,def,,,,
word,alternatives,6,11,0,6.11.0,alternatives,,,,,
word,alternatives,6,11,49,6.11.49,"alts are any idea which measurably deviates a plan, and are defined directly with respect to the target idea.",def,,,,
word,alternatives,6,11,50,6.11.50,"for example, bad is an alt to good, as in ""good-vs-bad"".",example,,,,
word,alternatives,6,11,51,6.11.51,"any other valid modes, if at all, are in support of maximal revision in these primary ones.",def,,,,
word,alternatives,6,11,52,6.11.52,a plan comprises: 1.the decided action 2.the best bet on it,def,,,,
word,alternatives,6,11,52.3,6.11.52.3,alternative actions 4.the goal 5.the relevant chud,def,,,,
word,alternatives,6,11,53,6.11.53,"good goals and their plans are supported by uses from your own history (self-h), and next best is norm or others' use or data that generalizes.",def,,,,
word,alternatives,6,11,54,6.11.54,"for example, a plan for a similar goal has previously succeeded.",example,,,,
word,letters,6,12,0,6.12.0,letters,,,,,
word,letters,6,12,1,6.12.1,mnemonics are memory aids.,def,,,,
word,letters,6,12,2,6.12.2,"reducing a word to a letter increases cognitive efficiency, as long as that letter stands for an idea you will frequently encounter.",def,,,,
word,letters,6,12,3,6.12.3,these letters illustrate kinds of word usage (not exhaustive):,def,,,,
word,letters,6,12,3.1,6.12.3.1,`f` define; function\,def,`,,,
word,letters,6,12,3.2,6.12.3.2,"`i` synonym, sense, ""i.e."", ""as in"",\",def,`,,,
word,letters,6,12,3.3,6.12.3.3,"`e` example, data-point, untested data\",example,,,,
word,letters,6,12,3.4,6.12.3.4,`h` history (implied h0),def,`,,,
word,letters,6,12,3.5,6.12.3.5,"`h1` claim, thesis. vs h0 or h2.",def,`,,,
word,letters,6,12,3.6,6.12.3.6,"`x` cross-references, xref\",def,`,,,
word,letters,6,12,3.7,6.12.3.7,"`d` data or evidence, summary",def,`,,,
word,letters,6,12,3.8,6.12.3.8,`v` version / revise\,def,`,,,
word,letters,6,12,3.9,6.12.3.9,"`vs` an alternative, sibling of a shared parent category.",def,`,,,
word,notes,6,13,0,6.13.0,notes,,,,,
word,notes,6,13,4,6.13.4,good notes clarify pri (content) within bets from secondary ones.,def,,,,
word,notes,6,13,5,6.13.5,"in a doc, par is a grouped set of words roughly equivalent to a complex sentence.",def,,,,
word,notes,6,13,6,6.13.6,"it has a primary subject and predicate, and includes any immediately relevant branches from either.",def,,,,
word,notes,6,13,7,6.13.7,in practice it is between 1 and 4 clauses.,def,is,,,
word,notes,6,13,8,6.13.8,"good par successfully denotes a link between two ideas, with the following form:",def,,,,
word,notes,6,13,8.1,6.13.8.1,"a syntactic tree, where\",def,,,,
word,notes,6,13,8.2,6.13.8.2,"[newline] is the right path in a fork,\",def,is,,,
