"id.line","h1","h2","verse","word"
135,"1-self","today",32,"there is not always harm to planting something that does not grow, but"
136,"1-self","today",32,"sometimes there is."
137,"1-self","today",33,"you could run out of space, time, or energy that could have been devoted to"
138,"1-self","today",33,"better crops;"
139,"1-self","today",34,"you might get a weak yield for trying to grow something not suitable in your"
140,"1-self","today",34,"climate, or"
141,"1-self","today",35,"find you have no taste or stomach for the fruit."
142,"1-self","today",36,"in the garden, the costs of goals are grounded in their most basic sense: time"
143,"1-self","today",36,"and attention."
144,"1-self","goal",36,"goal"
145,"1-self","goal",37,"the following are core concepts for application beyond the garden."
146,"1-self","goal",38,"a goal names an ideal future reality, comprises a plan to increase its"
147,"1-self","goal",38,"likelihood, associated with chud."
148,"1-self","goal",39,"these three things encompass all cognitive activity related to reality."
149,"1-self","goal",40,"call anything that could be true, but isn't right now, a goal, and any effort in support of making it true a plan."
150,"1-self","goal",41,"it is *your* goal if you aim to increase its probability of being true."
151,"1-self","goal",42,"a goal can be finite or persistent, singular or recurring, or realistic or not."
152,"1-self","plan",42,"plan"
153,"1-self","plan",43,"if you will need to do something before it is in your hand, it requires a plan."
154,"1-self","plan",44,"a plan is any combination of words where the writing or reading of them aims"
155,"1-self","plan",44,"to improve the chance or decrease the cost of achieving your goal."
156,"1-self","plan",45,"most plans are instructions (instr) for learning, making, changing, reminding."
157,"1-self","plan",45,".	product instr are a plan to maximize satisfaction and minimize liability."
158,"1-self","plan",45,".	for example, lamp instr will likely suggest not to put it in water."
159,"1-self","plan",46,"a doc is a plan for goals to complete a linguistic product"
160,"1-self","plan",46,".	example docs include a resume or epitaph on a tombstone."
161,"1-self","plan",47,"lessons are a plan template for thinking."
162,"1-self","plan",47,".	read and complete lesson steps in order."
163,"1-self","plan",48,"tools are physical or mental objects that help you accomplish your goal."
164,"1-self","plan",49,"what is materially required--muscle energy, cash, brain power--is cost."
165,"1-self","plan",50,"all costs can be reduced to time."
166,"1-self","plan",51,"cost is any action that has a direct exchange."
167,"1-self","plan",52,"costs often are secondary objectives within a plan."
168,"1-self","plan",53,"for example, you might buy a tool (cost)."
169,"1-self","self  ",53,"self"
170,"1-self","self  ",54,"every day, as a human, you spend time and attention just meeting basic needs:"
171,"1-self","self  ",54,"eating, drinking, pooping, and sleeping."
172,"1-self","self  ",55,"these actions are subgoals of maintaining self, the category of basic human goals."
173,"1-self","self  ",56,"food is the necessary and sufficient material to satisfy these needs."
174,"1-self","self  ",57,"cake is anything (else) fulfilling, that you are inclined to pursue, including the reason for living."
175,"1-self","self  ",58,"the goals of self are what's necessary and sufficient to obtain and manage food and maximize bet outcomes ([c5.28][bet])."
176,"1-self","self  ",58.1,"separate food from cake."
177,"1-self","self  ",58.2,"be careful not to mislabel cake as food. cake may appear sufficient but ask yourself if it is necessary."
178,"1-self","self  ",58.3,"build routines for health and fitness, physical safety (shelter), a sound"
179,"1-self","self  ",58,"mind, healthy relationships."
180,"1-self","self  ",58.4,"master the self (survive well)."
181,"1-self","home  ",58,"home"
182,"1-self","home  ",59,"home is the collection of materials and tools needed for self."
183,"1-self","home  ",60,"within a home related actions are grouped into rooms."
184,"1-self","home  ",61,"for example, a kitchen, is for eating, storing, preparing and disposing of food."
185,"1-self","home  ",62,"home also includes all physical material and resources you own, including"
186,"1-self","home  ",62,"money, and environment and basis for habits."
187,"1-self","home  ",63,"a good home is clean and aligned for food."
188,"1-self","home  ",64,"a bad home facilitates bad habits and takes more time to maintain."
189,"1-self","home  ",65,"all your life can be very well characterized by a series of purely numerical data:"
190,"1-self","home  ",66,"event timestamps associated with a location."
191,"1-self","home  ",67,"the average movement over time, consider as habits."
192,"1-self","home  ",68,"the average location is home."
193,"2-pri",NA,NA,"# priorities"
194,"2-pri","calling",NA,"calling"
195,"2-pri","calling",1,"your calling--your highest priority--is yours to name."
196,"2-pri","calling",2,"if you overcome your doubts and see reality plainly, you will want peace."
197,"2-pri","calling",3,"but we all have doubts, so you want some form of dignity and affirmation."
198,"2-pri","calling",3,""
199,"2-pri","calling",4,"tell me your calling, student, and subtracting from peace, i'll tell you your doubts."
200,"2-pri","calling",4,""
201,"2-pri","calling",5,"on mastering my book your life will be regimented to afford your calling."
202,"2-pri","cakes  ",5,"cakes"
203,"2-pri","cakes  ",6,"in your garden you have the seeds and sprouts of the best you could want, and the most important of what you need."
204,"2-pri","cakes  ",7,"there are two important things to keep in mind, however clear things may seem right now."
205,"2-pri","cakes  ",8,"the first is to always leave room for your goals to change, if and when you achieve them.  think of what you can grow from the seeds of the best apple in your crop."
206,"2-pri","cakes  ",9,"the second is that much of what you could achieve, you won't, before the day is over, nor before you die."
207,"2-pri","cakes  ",10,"before there was a garden, you lived as if you wouldn't die. at least some of your goals assume *tomorrow* is a good time to start."
208,"2-pri","cakes  ",11,"i did, at least. the list of my goals grew like a wild vine and i found myself"
209,"2-pri","cakes  ",11,"overwhelmed by what else i wanted, and yet an inability to equalize various"
210,"2-pri","cakes  ",11,"goals."
211,"2-pri","cakes  ",12,"the very difficult task of your priorities, at their core, is to establish the optimal intersection of finite time and infinite, ever-changing desire."
212,"2-pri","cakes  ",13,"for example, sleep. about 4 hours daily is a vital priority for everyone (food), but sleeping in on the weekends is usually not (cake)."
213,"2-pri","cakes  ",14,"in your garden, you are limited in what you can do in one day, and in one lifetime."
214,"2-pri","cakes  ",15,"even if you build machines to work fields that stretch out to the horizons,"
215,"2-pri","cakes  ",16,"you can only eat so much in a day and a lifetime."
216,"2-pri","cakes  ",17,"how do you most want to spend your time?"
217,"2-pri","cakes  ",18,"if your goal is to obtain something you do not yet have and have never"
218,"2-pri","cakes  ",18,"tasted, be careful. it may not satisfy you how you imagine."
219,"2-pri","cakes  ",19,"suppose your goal takes 300 hours of labor."
220,"2-pri","cakes  ",20,"you might spend 10 years accruing the time on task, or immerse yourself"
221,"2-pri","cakes  ",20,"and achieve your goal in under 1 year."
222,"2-pri","cakes  ",21,"any true goal has a specific optimal deadline."
223,"2-pri","cakes  ",22,"today, you grow the best apple you can,"
224,"2-pri","cakes  ",23,"yet having tasted it, you might discover a more refined goal is closer to"
225,"2-pri","cakes  ",23,"your heart."
226,"2-pri","cakes  ",24,"whether this apple is food or cake, the more you align with yourself, the"
227,"2-pri","cakes  ",24,"more you will see your goals differently than you first conceived of them."
228,"2-pri","cakes  ",25,"leave time in your life to achieve the next goal."
229,"2-pri","death",25,"death"
230,"2-pri","death",26,"many ppl believe in seeds with special powers, like true love, or winning the"
231,"2-pri","death",26,"lottery."
232,"2-pri","death",27,"one seed grows the duration of your life, which you rarely notice but are often"
233,"2-pri","death",27,"aware of."
234,"2-pri","death",28,"when you eat it, the sun sets for the last time and you bite the dust. it happens"
235,"2-pri","death",28,"to all of us."
236,"2-pri","death",29,"think about this, but don't dwell on it."
237,"2-pri","sick",29,"sick"
238,"2-pri","sick",30,"maybe you are sick, down or depressed."
239,"2-pri","sick",31,"then today, do not look out onto your field as a day to work."
240,"2-pri","sick",32,"today your field gives to you, and you should take what you need. this is what it"
241,"2-pri","sick",32,"is for."
242,"2-pri","sick",33,"do not beat yourself up for what you cannot give today. this assumes your field"
243,"2-pri","sick",33,"is only meaningful for its future."
244,"2-pri","sick",34,"and before you're well again, remember this moment well, so you may"
245,"2-pri","sick",35,"prevent the urge to be disappointed the next time you are less than productive."
246,"2-pri","sick",36,"if you must work to feel worthwhile, work to budget for a fact of being"
247,"2-pri","sick",36,"human:"
248,"2-pri","sick",37,"you are always sometimes less than productive, and occasionally your setbacks"
249,"2-pri","sick",37,"come in unfortunate forms, at inconvenient times."
250,"2-pri","attention  ",37,"attention"
251,"2-pri","attention  ",31,"think of what's happening in your garden this very moment: nothing, while"
252,"2-pri","attention  ",31,"you're sitting here thinking."
253,"2-pri","attention  ",32,"reflect only enough to improve your actions."
254,"2-pri","attention  ",33,"pri is the optimizing and managing of all your goals."
255,"2-pri","attention  ",34,"all goals rely on a single, limited source of attention, and existence: you."
256,"2-pri","attention  ",35,"attention."
257,"2-pri","attention  ",35.1,"at its best, this limiting fact drastically improves the reality of plans and goals."
258,"2-pri","attention  ",35.2,"at its worst, it is the most common oversight responsible for bloated [chud][c.h.u.d.]."
259,"2-pri","attention  ",35.3,"goal importance partly depends on context (c3.6)."
260,"2-pri","attention  ",35.4,"group your goals by shared actions, places, or times. make/group/keep,"
261,"2-pri","attention  ",35,"order, reduce in the order (pictured below). ""a place for everything,"
262,"2-pri","attention  ",35,"everything in its place"""
263,"2-pri","attention  ",35.5,"align self and cake."
264,"2-pri","attention  ",35,""
265,"2-pri","attention  ",35,""
266,"2-pri","attention  ",35,"![](g:/dropbox/theory/website/figs/group.png)"
267,"2-pri","attention  ",36,"ask what it would take to change (if possible), and whether change is worth it."
268,"2-pri","attention  ",37,"savings occur anytime you complete an action that serves various goals."
269,"2-pri","attention  ",37.1,"an example is grouping (c3.35.4)."
270,"2-pri","attention  ",37.2,"apply to ideas, plans, goals, or home things."
271,"2-pri","attention  ",38,"time is the constant (or denominator) for forces, forgetting, pri, and lib."
272,"2-pri","attention  ",38.1,"do not ignore time."
273,"2-pri","attention  ",38.2,"estimate durations accurately for goal accomplishment."
274,"2-pri","attention  ",38.3,"study time to learn reality, self, and their link."
275,"2-pri","attention  ",38.4,"continually assess whether goal benefits outweighs costs of time."
276,"2-pri","attention  ",39,"maybe it seems unnecessary to represent work satisfaction and relationship"
277,"2-pri","attention  ",39,"quality in terms of carrots and tomatoes."
278,"2-pri","attention  ",40,"when you get bored, ask yourself why attempting to understand and define yourself bores you."
279,"2-pri","attention  ",41,"what is happening in your life, and what is in your control if these are unclear?"
280,"2-pri","attention  ",42,"if you are not reflecting on your life, your garden is a foggy labyrinth, and you are a drunk gardener wearing oven-mitts."
281,"2-pri","attention  ",43,"you are pushed like a sail by any wind, the forces of reality."
282,"2-pri","attention  ",44,"a force is any cause of change."
283,"2-pri","attention  ",44.1,"a force underlies every action involved in a goal, yours or otherwise."
284,"2-pri","attention  ",44.2,"there are forces within your control, and forces outside."
285,"2-pri","attention  ",45,"maintenance is the cost of force to neither move toward nor"
286,"2-pri","attention  ",45,"away from a goal."
287,"2-pri","attention  ",46,"alignment is when norm or natural force causes your goal to be more likely."
288,"2-pri","attention  ",46.1,"to align is to adjust your goal to be more like another force, usually one acting against your goal."
289,"2-pri","attention  ",46.2,"study how forces work against you."
290,"2-pri","attention  ",46,"moment"
291,"2-pri","now ",46,"now"
292,"2-pri","now ",47,"now is the only use-case of shared space, in time."
293,"2-pri","now ",48,"a moment is any now that is not the latest, either future or past."
294,"2-pri","now ",49,"a record of now becomes past 'nows' of variable use-case."
295,"2-pri","now ",49.1,"that is, we might reflect on the previous nows that we shared."
296,"2-pri","now ",49.2,"note that past nows do not maintain the same level of rigor. they are degraded to hype when mis-replayed, misunderstood, or accessed under changed priorities."
297,"2-pri","now ",49.3,"in seeing passage, we might speculate on future nows to be shared."
298,"2-pri","now ",49.4,"the discourse of past or future is always at least partially hype, but real (use) when bet on."
299,"3-ppl",NA,NA,"# ppl"
300,"3-ppl",NA,1,"just like you, others are trying to figure out what goes on in their own garden.\*	ppl are different versions of each others' pri ([see also c9.70][norms style])."
301,"3-ppl",NA,2,"amid the goals and forces of this chapter, none of what is described includes using words. reader, you will begin to understand their nature in the next chapter, bet, but as it pertains words that ppl use with each other, not until the last chapter, comm."
302,"3-ppl","places  ",2,"places"
303,"3-ppl","places  ",3,"consider ppl in terms of the four places of your life:"
304,"3-ppl","places  ",3.1,"on your garden dealing with your self."
305,"3-ppl","places  ",3.2,"on someone else's garden."
306,"3-ppl","places  ",3.3,"at work making something for others for money."
307,"3-ppl","places  ",3.4,"getting something someone else made (market)."
308,"3-ppl","places  ",3,""
309,"3-ppl","places  ",4,"sometimes you are at your garden's edge"
310,"3-ppl","places  ",4,"looking elsewhere."
311,"3-ppl","places  ",4,"for example, when you read an email or social media feed,"
312,"3-ppl","places  ",4,"as if looking across your neighbor's plot,"
313,"3-ppl","places  ",4,"studying how to bring your lettuce back to life,"
314,"3-ppl","places  ",4,"or celebrating your friend's successful pumpkin patch."
315,"3-ppl","gate  ",4,"gate"
316,"3-ppl","gate  ",5,"despite garden-based pris, most of your time"
317,"3-ppl","gate  ",5,"is spent outside your garden, and mostly for work (about 80,000 hours in your life)."
318,"3-ppl","gate  ",6,"acknowledge the ppl in your pris, yet don't let them distract."
319,"3-ppl","gate  ",7,"notice how long you leave your garden and to where."
320,"3-ppl","gate  ",8,"spend only as much time needed away for your pris."
321,"3-ppl","gate  ",9,"for example, most time on others' gardens, and any more than the minimum at work or market is cake. when in doubt, go home and stare at your plants. at least that cake is free."
322,"3-ppl","gate  ",9,"<!-- from these datum alone -->"
323,"3-ppl","gate  ",9,"<!-- we have all we need to know -->"
324,"3-ppl","gate  ",9,"<!-- as a psychological baseline -->"
325,"3-ppl","gate  ",9,"<!-- for each individual difference. -->"
326,"3-ppl","work  ",9,"work"
327,"3-ppl","work  ",10,"where do you get seeds for food from and how did you know to plant them?"
328,"3-ppl","work  ",11,"from other ppl, right? no silly, you don't know how to garden a sandwich!"
329,"3-ppl","work  ",12,"lucky for you, many of the most important crops you want are already grown, prepared and handed to you--in exchange for money."
330,"3-ppl","work  ",13,"money is traded for maintenance of, or insurance for self and cake, like apples, miracle medical procedures, and a toilet to take your poop somewhere else."
331,"3-ppl","work  ",14,"work is performing a specific task on a collective garden, like an institution's in exchange for money. it is a pre-arranged visit to another garden for a specified time."
332,"3-ppl","work  ",15,"whether or not you like it, or it directly fulfills garden needs, work is made to serve norms, not you."
333,"3-ppl","work  ",16,"norms are all actions assumed of (or about) the ""average"" person. they are the web of forces of all actions of all ppl, including work, religion, popular attitudes, and doubts."
334,"3-ppl","analysis ",16,"analysis"
335,"3-ppl","analysis ",17,"if you have a job that pays you to think, your mind is hired to make norms products real."
336,"3-ppl","analysis ",18,"instead of your reality, your work is to translate norms's reality, chud-adjusted."
337,"3-ppl","analysis ",19,"norms assume you will work for money for goods."
338,"3-ppl","analysis ",20,"language, agreed usage of words, is made from norms."
339,"3-ppl","analysis ",21,"norms push against individuality (except where it provides a lucrative job opportunity)."
340,"3-ppl","analysis ",22,"relationships (rltp) are goals about ppl (ppl)."
341,"3-ppl","analysis ",23,"good ones are aligned with your goals."
342,"3-ppl","analysis ",24,"bad ones cost more."
343,"3-ppl","analysis ",25,"a rltp is a reciprocal pair of bets, yours of them, and vice versa. one is the better and the other is the bet and bet on."
344,"3-ppl","analysis ",26,"rltps, especially family members, coordinate many goals for savings."
345,"3-ppl","others ",26,"others"
346,"3-ppl","others ",27,"maybe they are your friend, and need help with some unruly vines, or maybe you just like their apples."
347,"3-ppl","others ",28,"sometimes, ppl will contribute to your goals, as if bringing water to crops you didn't recognize need them. 4. sometimes ppl will try to water your crops when they don't need watering."
348,"3-ppl","others ",29,"sometimes you'll return with higher morale or a bag of apples."
349,"3-ppl","others ",30,"sometimes you'll need to water some crops that need to be watered, because the sight of their neglect cannot be ignored."
350,"3-ppl","others ",31,"the challenges that overwhelm you are the same for others, just not always the same amount nor at the same time."
351,"3-ppl","others ",32,"the place, duration and impact on your pris are the basic measurements of a rltp."
352,"3-ppl","others ",33,"pick work and rltps, including friends, that maximize your other pris including possibly one that maximizes time and money to apply to other pris."
353,"3-ppl","others ",34,"maximally align with norms with least compromise to pris. get along with ppl."
354,"3-ppl","others ",35,"ppl are the part of pris that require the most care, and fewest words."
355,"3-ppl","others ",36,"a good rltp is a contract of the reciprocated actions (use) between two ppl."
356,"3-ppl","others ",37,"a bad rltp is hyped mutual bets (unaligned with actions), that waste time."
357,"4-bet",NA,NA,"---"
358,"4-bet",NA,NA,"output:"
359,"4-bet",NA,NA,"word_document: default"
360,"4-bet",NA,NA,"pdf_document: default"
361,"4-bet",NA,NA,"html_document: default"
362,"4-bet",NA,NA,"---"
363,"4-bet",NA,NA,"#	bet"
364,"4-bet",NA,1,"you can't help but think how to make your life better."
365,"4-bet",NA,2,"you can take control of your life, or you can let the world bet for you."
366,"4-bet",NA,2,"you can commit yourself to finding out which thoughts are right or"
367,"4-bet",NA,2,"leave it to chance to have better life."
368,"4-bet",NA,3,"a commitment is the first step, but far from the last."
369,"4-bet",NA,4,"if you want your dreams to become real, listen to your doubts."
370,"4-bet",NA,5,"then test them."
371,"4-bet",NA,6,"winning means your reality is one step toward your goal."
372,"4-bet",NA,7,"losing is the wake-up call to be more realistic."
373,"4-bet",NA,8,"betting is a protocol to guide you to reality, and, if you're lucky, your"
374,"4-bet",NA,8,"dreams might fit in."
375,"4-bet",NA,9,"how real will your dreams get before you die?"
376,"4-bet","stranger",9,"stranger"
377,"4-bet","stranger",10,"a stranger comes to your garden at the end of a long day, which you realize only when you hear him chopping his jaw at you. you look up."
378,"4-bet","stranger",11,"""no really, consider it, right now. imagine the most realistic, attainable, best life you could have."
379,"4-bet","stranger",12,"imagine taking the first step and then stay with the thought. listen to the fear that surfaces."
380,"4-bet","stranger",13,"for the moment, never mind how the world has gotten in your way."
381,"4-bet","stranger",14,"how are you in your own way?"""
382,"4-bet","stranger",15,"he seems to be in your way. he's staring past your wet forehead."
383,"4-bet","stranger",16,"""see your doubts with curiosity. now bet on what you tell yourself"
384,"4-bet","stranger",16,"you believe. bet on overcoming them."""
385,"4-bet","stranger",17,"but you mostly only think of frustration and say, ""i appreciate the suggestion."""
386,"4-bet","stranger",18,"""let's both bet. name what you believe you can accomplish tomorrow, in terms of what you think holds you back most."
387,"4-bet","stranger",19,"if you make it happen before sun-up, you'll be over the most daunting hurdle between you and your outcome."
388,"4-bet","stranger",20,"and i'll give you the equivalent of your harvest, today. if you fail, you leave me today's harvest."""
389,"4-bet","stranger",21,"""okay,"" you say. you'll show him."
390,"4-bet","stranger",22,"""the rocks on the far field. they're on a slippery slope. to build the home i want, i need those rocks, but i'm afraid of falling. i've collected every rock on my land and i need those rocks. tomorrow i'll finish my foundation with rocks from the slippery slope."""
391,"4-bet","stranger",23,"the stranger and you have set up a bet, a type of belief."
392,"4-bet","bet  ",23,"bet"
393,"4-bet","bet  ",24,"a bet is a plan template for reconciling reality with chud, to accomplish goals."
394,"4-bet","bet  ",25,"betting is confronting costs, habits, unknowns and doubts that stand in the way of your wants and dreams."
395,"4-bet","bet  ",26,"the time that passes and the status of your goal when it runs out are an intersection of reality: the world and you. to name them, is to shed chud."
396,"4-bet","bet  ",27,"every idea you hold is a bet with a rolling deadline, idiosyncratic successes, and revisions."
