ch_name,ch_i,h_i,l_i,i,l_id,word,fn,x,id,group
self,1,3,38,1.3.38,38,"A goal names an ideal future reality, comprises a plan to increase its likelihood, associated with chud.",def,name,3,goal
self,1,3,39,1.3.39,39,These three things encompass all cognitive activity related to reality.,def,NA,3,goal
self,1,3,40,1.3.40,40,"Call anything that could be true, but isn't right now, a goal, and any effort in support of making it true a plan.",def,can could,3,goal
self,1,3,41,1.3.41,41,It is *your* goal if you aim to increase its probability of being true.,def,is,3,goal
self,1,3,42,1.3.42,42,"A goal can be finite or persistent, singular or recurring, or realistic or not.",def,can could,3,goal
self,1,4,43,1.4.43,43,"If you will need to do something before it is in your hand, it requires a plan.",def,is,4,plan
self,1,4,44,1.4.44,44,A plan is any combination of words where the writing or reading of them aims to improve the chance or decrease the cost of achieving your goal.,def,NA,4,plan
self,1,4,45,1.4.45,45,"Most plans are instructions (instr) for learning, making, changing, reminding. product instr are a plan to maximize satisfaction and minimize liability. for example, lamp instr will likely suggest not to put it in water.",def,NA,4,plan
self,1,4,46,1.4.46,46,"A doc is a plan for goals to complete a linguistic product .	example docs include a resume or epitaph on a tombstone.",def,NA,4,plan
self,1,4,47,1.4.47,47,"Lessons are a plan template for thinking. .	read and complete lesson steps in order.",def,NA,4,plan
self,1,4,48,1.4.48,48,Tools are physical or mental objects that help you accomplish your goal.,def,NA,4,plan
self,1,4,49,1.4.49,49,"What is materially required--muscle energy, cash, brain power--is cost.",def,is,4,plan
self,1,4,50,1.4.50,50,All costs can be reduced to time.,def,can could,4,plan
self,1,4,51,1.4.51,51,Cost is any action that has a direct exchange.,def,NA,4,plan
self,1,4,52,1.4.52,52,Costs often are secondary objectives within a plan.,def,NA,4,plan
self,1,4,53,1.4.53,53,"For example, you might buy a tool (cost).",example,NA,4,plan
self,1,5,54,1.5.54,54,"Every day, as a human, you spend time and attention just meeting basic needs: eating, drinking, pooping, and sleeping.",def,NA,5,self
self,1,5,55,1.5.55,55,"These actions are subgoals of maintaining self, the category of basic human goals.",def,NA,5,self
self,1,5,56,1.5.56,56,Food is the necessary and sufficient material to satisfy these needs.,def,is,5,self
self,1,5,57,1.5.57,57,"Cake is anything (else) fulfilling, that you are inclined to pursue, including the reason for living.",def,NA,5,self
self,1,5,58,1.5.58,58,"The goals of self are what's necessary and sufficient to obtain and manage food and maximize bet outcomes ([c5.28][bet]). mind, healthy relationships.",def,NA,5,self
self,1,5,58.1,1.5.58.1,59,Separate food from cake.,def,NA,5,self
self,1,5,58.2,1.5.58.2,60,Be careful not to mislabel cake as food. cake may appear sufficient but ask yourself if it is necessary.,def,is,5,self
self,1,5,58.3,1.5.58.3,61,"Build routines for health and fitness, physical safety (shelter), a sound",plan,NA,5,self
self,1,5,58.4,1.5.58.4,62,Master the self (survive well).,plan,NA,5,self
self,1,6,59,1.6.59,63,Home is the collection of materials and tools needed for self.,def,is,6,home
self,1,6,60,1.6.60,64,Within a home related actions are grouped into rooms.,def,NA,6,home
self,1,6,61,1.6.61,65,"For example, a kitchen, is for eating, storing, preparing and disposing of food.",example,NA,6,home
self,1,6,62,1.6.62,66,"Home also includes all physical material and resources you own, including money, and environment and basis for habits.",def,NA,6,home
self,1,6,63,1.6.63,67,A good home is clean and aligned for food.,def,is,6,home
self,1,6,64,1.6.64,68,A bad home facilitates bad habits and takes more time to maintain.,def,NA,6,home
self,1,6,65,1.6.65,69,All your life can be very well characterized by a series of purely numerical data:,def,can could,6,home
self,1,6,66,1.6.66,70,Event timestamps associated with a location.,def,NA,6,home
self,1,6,67,1.6.67,71,"The average movement over time, consider as habits.",def,NA,6,home
self,1,6,68,1.6.68,72,The average location is home.,def,is,6,home
priorities,2,1,1,2.1.1,73,Your calling--your highest priority--is yours to name.,def,NA,7,calling
priorities,2,1,2,2.1.2,74,"If you overcome your doubts and see reality plainly, you will want peace.",plan,NA,7,calling
priorities,2,1,3,2.1.3,75,"But we all have doubts, so you want some form of dignity and affirmation.",def,NA,7,calling
priorities,2,1,4,2.1.4,76,"Tell me your calling, student, and subtracting from peace, i'll tell you your doubts.",plan,NA,7,calling
priorities,2,1,5,2.1.5,77,On mastering my book your life will be regimented to afford your calling.,plan,NA,7,calling
priorities,2,2,6,2.2.6,78,"In your garden you have the seeds and sprouts of the best you could want, and the most important of what you need.",example,could,8,cakes
priorities,2,2,7,2.2.7,79,"There are two important things to keep in mind, however clear things may seem right now.",def,NA,8,cakes
priorities,2,2,8,2.2.8,80,"The first is to always leave room for your goals to change, if and when you achieve them.  think of what you can grow from the seeds of the best apple in your crop.",def,is,8,cakes
priorities,2,2,9,2.2.9,81,"The second is that much of what you could achieve, you won't, before the day is over, nor before you die.",def,is,8,cakes
priorities,2,2,10,2.2.10,82,"Before there was a garden, you lived as if you wouldn't die. at least some of your goals assume *tomorrow* is a good time to start.",def,NA,8,cakes
priorities,2,2,11,2.2.11,83,"I did, at least. the list of my goals grew like a wild vine and i found myself overwhelmed by what else i wanted, and yet an inability to equalize various",plan,history,8,cakes
priorities,2,2,12,2.2.12,84,"The very difficult task of your priorities, at their core, is to establish the optimal intersection of finite time and infinite, ever-changing desire.",def,is,8,cakes
priorities,2,2,13,2.2.13,85,"For example, sleep. about 4 hours daily is a vital priority for everyone (food), but sleeping in on the weekends is usually not (cake).",example,NA,8,cakes
priorities,2,2,14,2.2.14,86,"In your garden, you are limited in what you can do in one day, and in one lifetime.",def,NA,8,cakes
priorities,2,2,15,2.2.15,87,"Even if you build machines to work fields that stretch out to the horizons,",plan,NA,8,cakes
priorities,2,2,16,2.2.16,88,You can only eat so much in a day and a lifetime.,plan,NA,8,cakes
priorities,2,2,17,2.2.17,89,How do you most want to spend your time?,plan,NA,8,cakes
priorities,2,2,18,2.2.18,90,"If your goal is to obtain something you do not yet have and have never tasted, be careful. it may not satisfy you how you imagine.",def,is,8,cakes
priorities,2,2,19,2.2.19,91,Suppose your goal takes 300 hours of labor.,example,NA,8,cakes
priorities,2,2,20,2.2.20,92,"You might spend 10 years accruing the time on task, or immerse yourself and achieve your goal in under 1 year.",example,might,8,cakes
priorities,2,2,21,2.2.21,93,Any true goal has a specific optimal deadline.,def,NA,8,cakes
priorities,2,2,22,2.2.22,94,"Today, you grow the best apple you can,",plan,NA,8,cakes
priorities,2,2,23,2.2.23,95,"Yet having tasted it, you might discover a more refined goal is closer to your heart.",plan,is,8,cakes
priorities,2,2,24,2.2.24,96,"Whether this apple is food or cake, the more you align with yourself, the more you will see your goals differently than you first conceived of them.",plan,NA,8,cakes
priorities,2,2,25,2.2.25,97,Leave time in your life to achieve the next goal.,plan,NA,8,cakes
priorities,2,3,26,2.3.26,98,"Many ppl believe in seeds with special powers, like true love, or winning the lottery.",plan,NA,9,death
priorities,2,3,27,2.3.27,99,"One seed grows the duration of your life, which you rarely notice but are often aware of.",def,NA,9,death
priorities,2,3,28,2.3.28,100,"When you eat it, the sun sets for the last time and you bite the dust. it happens to all of us.",def,NA,9,death
priorities,2,3,29,2.3.29,101,"Think about this, but don't dwell on it.",plan,NA,9,death
priorities,2,4,30,2.4.30,102,"Maybe you are sick, down or depressed.",def,NA,10,sick
priorities,2,4,31,2.4.31,103,"Then today, do not look out onto your field as a day to work.",plan,NA,10,sick
priorities,2,4,32,2.4.32,104,"Today your field gives to you, and you should take what you need. this is what it is for.",plan,is,10,sick
priorities,2,4,33,2.4.33,105,Do not beat yourself up for what you cannot give today. this assumes your field is only meaningful for its future.,plan,NA,10,sick
priorities,2,4,34,2.4.34,106,"And before you're well again, remember this moment well, so you may",plan,NA,10,sick
priorities,2,4,35,2.4.35,107,Prevent the urge to be disappointed the next time you are less than productive.,def,NA,10,sick
priorities,2,4,36,2.4.36,108,"If you must work to feel worthwhile, work to budget for a fact of being human:",plan,NA,10,sick
priorities,2,4,37,2.4.37,109,"You are always sometimes less than productive, and occasionally your setbacks come in unfortunate forms, at inconvenient times.",def,NA,10,sick
priorities,2,5,31,2.5.31,110,"Think of what's happening in your garden this very moment: nothing, while you're sitting here thinking.",plan,NA,11,attention
priorities,2,5,32,2.5.32,111,Reflect only enough to improve your actions.,plan,NA,11,attention
priorities,2,5,33,2.5.33,112,Pri is the optimizing and managing of all your goals.,def,is,11,attention
priorities,2,5,34,2.5.34,113,"All goals rely on a single, limited source of attention, and existence: you.",def,NA,11,attention
priorities,2,5,35,2.5.35,114,"Attention. order, reduce in the order (pictured below). ""a place for everything, everything in its place""",def,NA,11,attention
priorities,2,5,35.1,2.5.35.1,115,"At its best, this limiting fact drastically improves the reality of plans and goals.",def,NA,11,attention
priorities,2,5,35.2,2.5.35.2,116,"At its worst, it is the most common oversight responsible for bloated [chud][c.h.u.d.].",def,is,11,attention
priorities,2,5,35.3,2.5.35.3,117,Goal importance partly depends on context (c3.6).,def,NA,11,attention
priorities,2,5,35.4,2.5.35.4,118,"Group your goals by shared actions, places, or times. make/group/keep,",plan,NA,11,attention
priorities,2,5,35.5,2.5.35.5,119,Align self and cake.,plan,NA,11,attention
priorities,2,5,36,2.5.36,120,"Ask what it would take to change (if possible), and whether change is worth it.",plan,is,11,attention
priorities,2,5,37,2.5.37,121,Savings occur anytime you complete an action that serves various goals.,def,NA,11,attention
priorities,2,5,37.1,2.5.37.1,122,An example is grouping (c3.35.4).,example,NA,11,attention
priorities,2,5,37.2,2.5.37.2,123,"Apply to ideas, plans, goals, or home things.",plan,NA,11,attention
priorities,2,5,38,2.5.38,124,"Time is the constant (or denominator) for forces, forgetting, pri, and lib.",def,is,11,attention
priorities,2,5,38.1,2.5.38.1,125,Do not ignore time.,plan,NA,11,attention
priorities,2,5,38.2,2.5.38.2,126,Estimate durations accurately for goal accomplishment.,plan,NA,11,attention
priorities,2,5,38.3,2.5.38.3,127,"Study time to learn reality, self, and their link.",plan,NA,11,attention
priorities,2,5,38.4,2.5.38.4,128,Continually assess whether goal benefits outweighs costs of time.,plan,NA,11,attention
priorities,2,5,39,2.5.39,129,Maybe it seems unnecessary to represent work satisfaction and relationship quality in terms of carrots and tomatoes.,plan,example,11,attention
priorities,2,5,40,2.5.40,130,"When you get bored, ask yourself why attempting to understand and define yourself bores you.",plan,example,11,attention
priorities,2,5,41,2.5.41,131,"What is happening in your life, and what is in your control if these are unclear?",def,NA,11,attention
priorities,2,5,42,2.5.42,132,"If you are not reflecting on your life, your garden is a foggy labyrinth, and you are a drunk gardener wearing oven-mitts.",def,NA,11,attention
priorities,2,5,43,2.5.43,133,"You are pushed like a sail by any wind, the forces of reality.",def,NA,11,attention
priorities,2,5,44,2.5.44,134,A force is any cause of change.,def,NA,11,attention
priorities,2,5,44.1,2.5.44.1,135,"A force underlies every action involved in a goal, yours or otherwise.",def,NA,11,attention
priorities,2,5,44.2,2.5.44.2,136,"There are forces within your control, and forces outside.",def,NA,11,attention
priorities,2,5,45,2.5.45,137,Maintenance is the cost of force to neither move toward nor away from a goal.,def,is,11,attention
priorities,2,5,46,2.5.46,138,Alignment is when norm or natural force causes your goal to be more likely. moment,def,is,11,attention
priorities,2,5,46.1,2.5.46.1,139,"To align is to adjust your goal to be more like another force, usually one acting against your goal.",def,is,11,attention
priorities,2,5,46.2,2.5.46.2,140,Study how forces work against you.,plan,NA,11,attention
priorities,2,6,47,2.6.47,141,"Now is the only use-case of shared space, in time.",def,is,12,now
priorities,2,6,48,2.6.48,142,"A moment is any now that is not the latest, either future or past.",def,NA,12,now
priorities,2,6,49,2.6.49,143,A record of now becomes past 'nows' of variable use-case.,def,NA,12,now
priorities,2,6,49.1,2.6.49.1,144,"That is, we might reflect on the previous nows that we shared.",example,might,12,now
priorities,2,6,49.2,2.6.49.2,145,"Note that past nows do not maintain the same level of rigor. they are degraded to hype when mis-replayed, misunderstood, or accessed under changed priorities.",def,NA,12,now
priorities,2,6,49.3,2.6.49.3,146,"In seeing passage, we might speculate on future nows to be shared.",example,might,12,now
priorities,2,6,49.4,2.6.49.4,147,"The discourse of past or future is always at least partially hype, but real (use) when bet on.",def,NA,12,now
ppl,3,0,1,3.0.1,148,"Just like you, others are trying to figure out what goes on in their own garden.\*	ppl are different versions of each others' pri ([see also c9.70][norms style]).",def,NA,NA,NA
ppl,3,0,2,3.0.2,149,"Amid the goals and forces of this chapter, none of what is described includes using words. reader, you will begin to understand their nature in the next chapter, bet, but as it pertains words that ppl use with each other, not until the last chapter, comm.",def,is,NA,NA
ppl,3,1,3,3.1.3,150,Consider ppl in terms of the four places of your life:,plan,NA,13,places
ppl,3,1,3.1,3.1.3.1,151,On your garden dealing with your self.,plan,alt,13,places
ppl,3,1,3.2,3.1.3.2,152,On someone else's garden.,plan,alt,13,places
ppl,3,1,3.3,3.1.3.3,153,At work making something for others for money.,plan,alt,13,places
ppl,3,1,3.4,3.1.3.4,154,Getting something someone else made (market).,plan,alt,13,places
ppl,3,1,4,3.1.4,155,Sometimes you are at your garden's edge looking elsewhere.,def,NA,13,places
ppl,3,1,4,3.1.4,156,"For example, when you read an email or social media feed, as if looking across your neighbor's plot,",example,NA,13,places
ppl,3,1,4,3.1.4,157,"Studying how to bring your lettuce back to life, or celebrating your friend's successful pumpkin patch.",def,NA,13,places
ppl,3,2,5,3.2.5,158,"Despite garden-based pris, most of your time is spent outside your garden, and mostly for work (about 80,000 hours in your life).",def,NA,14,gate
ppl,3,2,6,3.2.6,159,"Acknowledge the ppl in your pris, yet don't let them distract.",plan,NA,14,gate
ppl,3,2,7,3.2.7,160,Notice how long you leave your garden and to where.,plan,NA,14,gate
ppl,3,2,8,3.2.8,161,Spend only as much time needed away for your pris.,plan,NA,14,gate
ppl,3,2,9,3.2.9,162,"For example, most time on others' gardens, and any more than the minimum at work or market is cake. when in doubt, go home and stare at your plants. at least that cake is free.",example,NA,14,gate
ppl,3,3,10,3.3.10,163,Where do you get seeds for food from and how did you know to plant them?,plan,NA,15,work
ppl,3,3,11,3.3.11,164,"From other ppl, right? No silly, you don't know how to garden a sandwich!",plan,example,15,work
ppl,3,3,12,3.3.12,165,"Lucky for you, many of the most important crops you want are already grown, prepared and handed to you--in exchange for money.",def,NA,15,work
ppl,3,3,13,3.3.13,166,"Money is traded for maintenance of, or insurance for self and cake, like apples, miracle medical procedures, and a toilet to take your poop somewhere else.",def,is,15,work
ppl,3,3,14,3.3.14,167,"Work is performing a specific task on a collective garden, like an institution's in exchange for money. it is a pre-arranged visit to another garden for a specified time.",def,NA,15,work
ppl,3,3,15,3.3.15,168,"Whether or not you like it, or it directly fulfills garden needs, work is made to serve norms, not you.",def,is,15,work
ppl,3,3,16,3.3.16,169,"Norms are all actions assumed of (or about) the ""average"" person. they are the web of forces of all actions of all ppl, including work, religion, popular attitudes, and doubts.",def,NA,15,work
ppl,3,4,17,3.4.17,170,"If you have a job that pays you to think, your mind is hired to make norms products real.",def,is,16,analysis
ppl,3,4,18,3.4.18,171,"Instead of your reality, your work is to translate norms's reality, chud-adjusted.",def,is,16,analysis
ppl,3,4,19,3.4.19,172,Norms assume you will work for money for goods.,def,NA,16,analysis
ppl,3,4,20,3.4.20,173,"Language, agreed usage of words, is made from norms.",def,is,16,analysis
ppl,3,4,21,3.4.21,174,Norms push against individuality (except where it provides a lucrative job opportunity).,def,NA,16,analysis
ppl,3,4,22,3.4.22,175,Relationships (rltp) are goals about ppl (ppl).,def,NA,16,analysis
ppl,3,4,23,3.4.23,176,Good ones are aligned with your goals.,def,NA,16,analysis
ppl,3,4,24,3.4.24,177,Bad ones cost more.,def,NA,16,analysis
ppl,3,4,25,3.4.25,178,"A rltp is a reciprocal pair of bets, yours of them, and vice versa. one is the better and the other is the bet and bet on.",def,NA,16,analysis
ppl,3,4,26,3.4.26,179,"Rltps, especially family members, coordinate many goals for savings.",def,NA,16,analysis
ppl,3,5,27,3.5.27,180,"Maybe they are your friend, and need help with some unruly vines, or maybe you just like their apples.",def,NA,17,others
ppl,3,5,28,3.5.28,181,"Sometimes, ppl will contribute to your goals, as if bringing water to crops you didn't recognize need them. 4. sometimes ppl will try to water your crops when they don't need watering.",plan,example,17,others
ppl,3,5,29,3.5.29,182,Sometimes you'll return with higher morale or a bag of apples.,plan,example,17,others
ppl,3,5,30,3.5.30,183,"Sometimes you'll need to water some crops that need to be watered, because the sight of their neglect cannot be ignored.",plan,example,17,others
ppl,3,5,31,3.5.31,184,"The challenges that overwhelm you are the same for others, just not always the same amount nor at the same time.",def,NA,17,others
ppl,3,5,32,3.5.32,185,"The place, duration and impact on your pris are the basic measurements of a rltp.",def,NA,17,others
ppl,3,5,33,3.5.33,186,"Pick work and rltps, including friends, that maximize your other pris including possibly one that maximizes time and money to apply to other pris.",plan,NA,17,others
ppl,3,5,34,3.5.34,187,Maximally align with norms with least compromise to pris. get along with ppl.,plan,NA,17,others
ppl,3,5,35,3.5.35,188,"Ppl are the part of pris that require the most care, and fewest words.",def,NA,17,others
ppl,3,5,36,3.5.36,189,A good rltp is a contract of the reciprocated actions (use) between two ppl.,def,NA,17,others
ppl,3,5,37,3.5.37,190,"A bad rltp is hyped mutual bets (unaligned with actions), that waste time.",def,is,17,others
bet,4,0,1,4.0.1,191,You can't help but think how to make your life better.,plan,NA,NA,NA
bet,4,0,2,4.0.2,192,"You can take control of your life, or you can let the world bet for you. you can commit yourself to finding out which thoughts are right or you can commit yourself to finding out which thoughts are right or leave it to chance to have better life.",plan,NA,NA,NA
bet,4,0,2,4.0.2,193,"Leave it to chance to have better life. betting is a protocol to guide you to reality, and, if you're lucky, your",plan,NA,NA,NA
bet,4,0,3,4.0.3,194,"A commitment is the first step, but far from the last.",def,is,NA,NA
bet,4,0,4,4.0.4,195,"#	Bet",NA,NA,NA,NA
bet,4,0,4,4.0.4,196,"If you want your dreams to become real, listen to your doubts.",plan,NA,NA,NA
bet,4,0,5,4.0.5,197,Then test them.,plan,NA,NA,NA
bet,4,0,6,4.0.6,198,Winning means your reality is one step toward your goal.,def,is,NA,NA
bet,4,0,7,4.0.7,199,Losing is the wake-up call to be more realistic.,def,is,NA,NA
bet,4,0,8,4.0.8,200,"Betting is a protocol to guide you to reality, and, if you're lucky, your dreams might fit in.",def,NA,NA,NA
bet,4,0,9,4.0.9,201,How real will your dreams get before you die?,plan,NA,NA,NA
bet,4,1,10,4.1.10,202,"A stranger comes to your garden at the end of a long day, which you realize only when you hear him chopping his jaw at you. you look up.",example,imagine,18,stranger
bet,4,1,11,4.1.11,203,"""No really, consider it, right now. imagine the most realistic, attainable, best life you could have.",example,imagine,18,stranger
bet,4,1,12,4.1.12,204,Imagine taking the first step and then stay with the thought. listen to the fear that surfaces.,example,imagine,18,stranger
bet,4,1,13,4.1.13,205,"For the moment, never mind how the world has gotten in your way.",plan,NA,18,stranger
bet,4,1,14,4.1.14,206,"How are you in your own way?""",def,NA,18,stranger
bet,4,1,15,4.1.15,207,He seems to be in your way. he's staring past your wet forehead.,example,imagine,18,stranger
bet,4,1,16,4.1.16,208,"""See your doubts with curiosity. now bet on what you tell yourself you believe. bet on overcoming them.""",plan,NA,18,stranger
bet,4,1,17,4.1.17,209,"But you mostly only think of frustration and say, ""i appreciate the suggestion.""",example,imagine,18,stranger
bet,4,1,18,4.1.18,210,"""Let's both bet. name what you believe you can accomplish tomorrow, in terms of what you think holds you back most.",example,imagine,18,stranger
bet,4,1,19,4.1.19,211,"If you make it happen before sun-up, you'll be over the most daunting hurdle between you and your outcome.",example,imagine,18,stranger
bet,4,1,20,4.1.20,212,"And i'll give you the equivalent of your harvest, today. if you fail, you leave me today's harvest.""",example,imagine,18,stranger
bet,4,1,21,4.1.21,213,"""Okay,"" you say. you'll show him.",example,imagine,18,stranger
bet,4,1,22,4.1.22,214,"""The rocks on the far field. they're on a slippery slope. to build the home i want, i need those rocks, but i'm afraid of falling. i've collected every rock on my land and i need those rocks. tomorrow i'll finish my foundation with rocks from the slippery slope.""",example,imagine,18,stranger
bet,4,1,23,4.1.23,215,"The stranger and you have set up a bet, a type of belief.",example,imagine,18,stranger
bet,4,2,24,4.2.24,216,"A bet is a plan template for reconciling reality with chud, to accomplish goals.",def,NA,19,bet
bet,4,2,25,4.2.25,217,"Betting is confronting costs, habits, unknowns and doubts that stand in the way of your wants and dreams.",def,is,19,bet
bet,4,2,26,4.2.26,218,"The time that passes and the status of your goal when it runs out are an intersection of reality: the world and you. to name them, is to shed chud.",def,NA,19,bet
bet,4,2,27,4.2.27,219,"Every idea you hold is a bet with a rolling deadline, idiosyncratic successes, and revisions.",def,NA,19,bet
bet,4,2,28,4.2.28,220,"Bet wins shorten your plan, and the distance to your goal. losses should guide revisions to your chud.",def,NA,19,bet
bet,4,2,29,4.2.29,221,"To bet, name:",plan,NA,19,bet
bet,4,2,29.1,4.2.29.1,222,"A step in your plan,",plan,NA,19,bet
bet,4,2,29.2,4.2.29.2,223,"A deadline to achieve it, and",plan,NA,19,bet
bet,4,2,29.3,4.2.29.3,224,The c.h.u.d. for that duration.,plan,NA,19,bet
bet,4,2,30,4.2.30,225,"Blitz to revise and win, and log your actions.",plan,NA,19,bet
bet,4,2,31,4.2.31,226,"When the deadline arrives, take stock.",plan,NA,19,bet
bet,4,2,31.1,4.2.31.1,227,Compare your action log to your plan.,plan,NA,19,bet
bet,4,2,31.2,4.2.31.2,228,Identify chud factors that best explain discrepancies.,plan,NA,19,bet
bet,4,2,31.3,4.2.31.3,229,"Revise plan, updated with chud factor predictions.",plan,NA,19,bet
bet,4,2,31.4,4.2.31.4,230,"(Record time to do the next bet or goal, revise, etc.)",plan,NA,19,bet
bet,4,2,31.5,4.2.31.5,231,Start the next bet or goal.,plan,NA,19,bet
bet,4,3,32,4.3.32,232,"The next morning you woke to a field in disarray and a letter. you had worked harder than you planned, and still fell short of your goal.",example,imagine,20,after
bet,4,3,33,4.3.33,233,"""If you did more than you would have without the bet, you won something, including evidence that there is some commitment in you to make your dreams come true.""",def,NA,20,after
bet,4,3,34,4.3.34,234,"The biggest reward is not positive: accept you failed,",def,is,20,after
bet,4,3,35,4.3.35,235,And partly due to a miscalculation.,def,NA,20,after
bet,4,3,36,4.3.36,236,"Therefore, likely other parts of your plan are misguided, and your goal is further than you estimate.",def,NA,20,after
bet,4,3,37,4.3.37,237,"If you disagree, let's bet again. first, take a minute to learn from your planning mistake.",plan,NA,20,after
bet,4,4,38,4.4.38,238,"Even if you make a plan and bet on it, you can fail.",def,NA,21,c.h.u.d.
bet,4,4,39,4.4.39,239,Why don't we achieve our goals?,plan,q,21,c.h.u.d.
bet,4,4,40,4.4.40,240,"Here are the four critical aspects of success,",def,NA,21,c.h.u.d.
bet,4,4,41,4.4.41,241,"And, by extension, clues for why we fail.",def,NA,21,c.h.u.d.
bet,4,4,42,4.4.42,242,"Chud encompasses the changes in you, the world, and your goal for you to achieve it.",def,NA,21,c.h.u.d.
bet,4,5,43,4.5.43,243,Costs ([c2.51][self]) and habits are knowable facts.,def,NA,22,cost
bet,4,5,44,4.5.44,244,Observers could independently note and agree on your costs and habits.,example,could,22,cost
bet,4,5,45,4.5.45,245,Costs are the unadjusted record of transactions in your life.,def,NA,22,cost
bet,4,5,46,4.5.46,246,Referring to cost is referring to typical transactions for a goal.,def,is,22,cost
bet,4,5,47,4.5.47,247,"For example, a relationship with an alcoholic poses a risk of violence.",example,NA,22,cost
bet,4,6,48,4.6.48,248,"The unadjusted, plain record of everything you have physically done, is your habit.",def,is,23,habit
bet,4,6,49,4.6.49,249,Referring to habit is referring to patterns of behavior.,def,is,23,habit
bet,4,6,50,4.6.50,250,"For example, i eat every morning before 9 am.",example,NA,23,habit
bet,4,6,50.1,4.6.50.1,251,Habits are your most likely and reliable food or cake actions.,def,NA,23,habit
bet,4,6,50.2,4.6.50.2,252,Bad habits are forces working against your goals.,def,NA,23,habit
bet,4,6,50.3,4.6.50.3,253,Good habits are aligned with goals.,def,NA,23,habit
bet,4,7,51,4.7.51,254,Unknowns and doubts are the gap between your real and perceived costs and habits.,def,NA,24,unknown
bet,4,7,52,4.7.52,255,"If you have not arrived at the goal, there are unknowns.",def,NA,24,unknown
